Indicator,Unit,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO2 emissions,Millions of Metric tons of CO2,Telecommunications,Units,3.026,3.248,3.296,2.9,3.399,3.399,3.221,3.603,3.626,3.99,4.269,4.382,4.922,5.615,6.17,8.137,9.09,8.304,8.34,10.473,9.481,9.254,9.248,9.761
CO2 emissions,Millions of Metric tons of CO2,"Textiles, textile products, leather and footwear",Units,7.235,7.891,8.268,8.286,7.812,7.504,7.182,6.249,4.596,5.469,4.811,5.06,4.725,6.334,4.605,4.97,7.034,7.157,4.342,6.001,5.913,5.73,6.898,7.013
CO2 emissions,Millions of Metric tons of CO2,Warehousing and support activities for transportation,Units,1.092,1.11,1.154,0.957,1.111,1.159,1.103,1.193,1.274,1.405,1.491,1.706,2.114,2.547,2.719,2.986,3.199,2.968,3.5,2.957,5.321,5.845,6.549,6.84
CO2 emissions,Millions of Metric tons of CO2,"Water supply; sewerage, waste management and remediation activities",Units,0.523,0.543,0.536,0.432,0.523,0.562,0.544,0.618,0.694,0.796,0.859,0.957,1.135,1.321,1.354,1.491,1.702,1.607,1.704,2.142,2.225,2.572,3.021,3.104
CO2 emissions,Millions of Metric tons of CO2,Water transport,Units,3.144,3.112,3.02,3.323,3.162,3.131,3.529,3.178,3.016,2.443,3.058,3.355,4.783,4.863,6.502,6.055,6.239,4.574,4.634,5.351,4.763,3.804,6.652,6.147
CO2 emissions,Millions of Metric tons of CO2,Wholesale and retail trade; repair of motor vehicles,Units,5.027,5.093,5.286,4.285,5.807,6.194,5.625,6.234,6.341,6.895,7.173,7.873,9.945,11.76,12.8,13.332,15.387,16.709,16.385,21.23,19.243,20.101,23.196,25.069
CO2 emissions,Millions of Metric tons of CO2,Wood and products of wood and cork,Units,0.006,0.008,0.008,0.01,0.01,0.011,0.01,0.014,0.017,0.025,0.026,0.029,0.044,0.046,0.045,0.052,0.061,0.063,0.074,0.319,0.081,0.084,0.086,0.088
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Accomodation and food services,Units,82.60122231,82.40040916,82.06646038,48.35353164,52.31037489,48.9345574,45.56410341,49.4208847,43.68863323,31.65492563,28.55615392,26.28375284,24.68895457,26.65436465,26.9042021,23.09822541,22.84420008,23.2233838,21.47540311,17.218421,22.5902444,23.15200863,21.71506064,22.01778745
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Administrative and support services,Units,467.2937615,469.6459639,417.9829207,350.3843879,319.0062929,270.2929509,240.5251628,227.8935026,186.0896121,162.7551562,143.1479156,134.2460672,123.7305661,130.1970061,129.970366,118.8396125,122.4393124,127.7254826,144.0687061,164.3605561,194.4423201,191.5014096,178.860386,179.6326979
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Agriculture, hunting, forestry",Units,222.9238262,214.2866784,210.9632323,220.9027784,233.8316105,241.1929025,219.3083789,240.0018836,199.8829369,186.4701556,152.3593971,149.4950542,113.6755675,101.4385516,105.1315617,87.81519251,83.14999353,91.38417805,100.7606855,90.29870047,91.81118972,89.32171078,86.28744698,84.71321049
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Air transport,Units,2808.347,2734.762007,2481.859188,2469.553451,2295.413476,2205.817805,2175.426247,2057.433529,1822.283189,1603.27465,1676.756445,1691.094767,1511.738401,1392.364617,1405.930725,1223.819423,1162.113299,1185.217789,1158.751543,1136.332662,1248.565686,1252.941377,1175.665519,1210.355678
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,"Arts, entertainment and recreation",Units,242.1736562,215.3302266,237.7642841,212.7352708,252.3112481,240.5477821,240.999008,241.709733,221.0598135,211.8918919,197.2653249,185.2826613,173.7008925,174.3143762,172.5323963,148.9501792,141.1353275,35.67862449,31.6091606,36.3322585,36.73047606,35.29499878,31.7509849,31.80811808
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Basic metals,Units,3656.224963,3500.714445,3518.222882,2953.401949,3085.586862,3064.753623,2988.512965,3088.792571,2499.434755,2401.44712,2082.635889,2002.128631,1737.735604,1927.472106,2288.48221,1858.373379,1641.485378,2075.321174,2015.067042,2378.877582,2548.964031,3046.269746,2633.077746,2796.605786
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Chemicals and pharmaceutical products,Units,838.8043768,818.49946,791.5591703,663.6560096,548.231699,802.6590407,794.1377274,803.4029707,605.281591,527.8786069,401.8535008,382.5206652,283.4243156,264.8376772,231.6501474,188.8402446,156.7183729,165.0400913,142.7991323,134.342191,134.1359163,134.2885569,111.6209104,108.3744002
CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,Coke and refined petroleum products,Units,539.1015059,539.5632291,530.7220876,575.8129149,620.9343584,614.3001187,657.1952225,620.0676254,661.3679771,517.9478238,453.7220793,428.1293629,377.1689191,344.7671564,309.6806673,248.203512,205.2343641,202.4922527,194.3105943,222.8246919,383.334352,433.0794309,371.6348297,353.6792858
