Series,Variable,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Primary energy,Coal,Delayed Transition (Disorderly scenario),EJ/yr,17.5337,20.5301,22.5746,18.1146,13.6954,9.9748,7.7468
Primary energy,Coal,Fragmented World,EJ/yr,17.53,20.5262,22.5701,21.0342,17.5962,13.859,10.5898
Primary energy,Coal,Low Demand,EJ/yr,17.5299,18.3717,13.9735,9.4878,6.7376,6.0239,5.7087
Primary energy,Coal,Nationally Determined Contributions (NDCs),EJ/yr,17.5297,19.7319,21.4919,23.1402,24.334,24.4621,23.9346
Primary energy,Coal,Net Zero 2050 (Orderly scenario),EJ/yr,17.5301,17.8841,11.2278,7.4631,6.5619,6.304,5.5914
Primary energy,Coal,Below 2°C,EJ/yr,18.7949,22.6232,11.3561,5.4045,4.3354,2.5293,1.9155
Primary energy,Coal,Current Policies (Hot house world scenario),EJ/yr,18.8012,22.5886,25.9708,29.0309,32.1438,29.737,30.9403
Primary energy,Coal,Delayed Transition (Disorderly scenario),EJ/yr,18.8112,22.6077,26.0006,13.2664,6.8547,3.9591,3.1224
Primary energy,Coal,Fragmented World,EJ/yr,18.8056,22.5984,25.9753,17.5376,12.4178,7.4216,4.3235
Primary energy,Coal,Low Demand,EJ/yr,18.8033,22.6783,9.6725,4.0564,3.0982,2.3938,1.8881
Primary energy,Coal,Nationally Determined Contributions (NDCs),EJ/yr,18.7909,22.6165,25.5103,26.1285,26.3499,21.3506,17.2606
Primary energy,Coal,Net Zero 2050 (Orderly scenario),EJ/yr,18.7819,22.5973,10.492,4.6984,3.6248,3.2536,2.362
Primary energy,Coal,Below 2°C,EJ/yr,22.635,23.4711,21.4904,14.39,7.9693,4.3311,1.5381
Primary energy,Coal,Current Policies (Hot house world scenario),EJ/yr,22.635,23.8753,26.0603,28.3993,30.0198,32.338,37.8082
Primary energy,Coal,Delayed Transition (Disorderly scenario),EJ/yr,22.635,23.8753,26.0603,26.7864,12.9203,1.6809,0.5207
Primary energy,Coal,Fragmented World,EJ/yr,22.635,23.8753,26.0603,27.6491,17.807,10.1695,6.5532
Primary energy,Coal,Low Demand,EJ/yr,22.635,22.7589,11.417,3.3697,0.4525,0.3425,0.2366
Primary energy,Coal,Nationally Determined Contributions (NDCs),EJ/yr,22.635,23.4327,21.3375,15.2314,10.9493,9.8744,9.3096
Primary energy,Coal,Net Zero 2050 (Orderly scenario),EJ/yr,22.635,23.0079,12.9332,4.8397,0.6775,0.2639,0.1786
Final energy,Electricity,Below 2°C,EJ/yr,4.1838,6.6705,8.6957,11.4658,14.952,18.9461,23.5532
Final energy,Electricity,Current Policies (Hot house world scenario),EJ/yr,4.1838,6.9895,8.771,11.0403,13.6898,16.4551,19.2336
Final energy,Electricity,Delayed Transition (Disorderly scenario),EJ/yr,4.1808,6.9846,8.7655,11.3079,14.5213,18.2229,22.529
Final energy,Electricity,Fragmented World,EJ/yr,4.1838,6.9894,8.7709,11.0584,14.0675,17.4388,21.1677
Final energy,Electricity,Low Demand,EJ/yr,4.1838,6.2804,7.6693,10.0833,13.4428,17.6686,22.457
Final energy,Electricity,Nationally Determined Contributions (NDCs),EJ/yr,4.1838,6.9122,8.6666,11.4893,14.2561,16.9532,19.8471
Final energy,Electricity,Net Zero 2050 (Orderly scenario),EJ/yr,4.1838,6.6951,8.7428,11.9253,16.0614,21.0319,26.5127
Final energy,Electricity,Below 2°C,EJ/yr,4.9433,6.1395,7.3972,9.0828,10.9038,13.3339,16.3701
Final energy,Electricity,Current Policies (Hot house world scenario),EJ/yr,4.8416,6.183,7.6444,9.2887,10.5744,11.9438,13.8434
Final energy,Electricity,Delayed Transition (Disorderly scenario),EJ/yr,4.8333,6.1589,7.6001,9.1411,11.2642,13.8097,16.9269
Final energy,Electricity,Fragmented World,EJ/yr,4.9246,6.2279,7.6442,8.9621,10.4423,12.1169,14.3298
Final energy,Electricity,Low Demand,EJ/yr,4.9076,6.1689,6.9959,9.2323,11.1665,12.7872,14.4657
Final energy,Electricity,Nationally Determined Contributions (NDCs),EJ/yr,4.9329,6.1157,7.5404,8.9918,10.3836,11.9595,13.6816
Final energy,Electricity,Net Zero 2050 (Orderly scenario),EJ/yr,4.963,6.1981,7.0991,9.5591,12.3299,15.6073,18.483
Final energy,Electricity,Below 2°C,EJ/yr,4.4802,6.5757,9.861,12.8466,15.8326,19.522,22.9874
Final energy,Electricity,Current Policies (Hot house world scenario),EJ/yr,4.4802,6.5562,9.4762,12.6464,15.0924,17.4751,20.7631
Final energy,Electricity,Delayed Transition (Disorderly scenario),EJ/yr,4.4802,6.5562,9.4762,12.9375,15.8951,18.8552,22.7405
Final energy,Electricity,Fragmented World,EJ/yr,4.4802,6.5562,9.4762,12.5087,14.7983,17.4979,20.8128
Final energy,Electricity,Low Demand,EJ/yr,4.4802,6.2735,7.7307,9.7641,12.2384,14.7048,17.132
Final energy,Electricity,Nationally Determined Contributions (NDCs),EJ/yr,4.4802,6.6062,9.8892,12.735,15.3843,18.7295,22.1726
Final energy,Electricity,Net Zero 2050 (Orderly scenario),EJ/yr,4.4802,6.701,9.5131,12.5686,16.6719,20.8443,24.3721
Emissions and CCS,Energy and industrial processes CO2 emissions,Below 2°C,Mt CO2/yr,2601.3515,3035.3821,2650.415,2280.0937,1924.4393,1582.0622,1252.3014
Emissions and CCS,Energy and industrial processes CO2 emissions,Current Policies (Hot house world scenario),Mt CO2/yr,2601.3523,3164.5948,3653.5194,3988.4863,4291.7351,4558.021,4794.2295
Emissions and CCS,Energy and industrial processes CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2/yr,2600.9177,3164.0843,3653.6528,3138.1995,2631.8275,2145.0264,1676.8001
Emissions and CCS,Energy and industrial processes CO2 emissions,Fragmented World,Mt CO2/yr,2601.3521,3164.5218,3653.5383,3582.0655,3145.2294,2724.6905,2320.0998
Emissions and CCS,Energy and industrial processes CO2 emissions,Low Demand,Mt CO2/yr,2601.3526,3003.9191,2520.9236,2056.212,1610.2612,1181.2067,768.1001
Emissions and CCS,Energy and industrial processes CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2/yr,2601.352,3116.6101,3600.9889,3903.5863,4108.6202,4221.2325,4261.8675
Emissions and CCS,Energy and industrial processes CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2/yr,2601.353,2987.4471,2284.8259,1787.8671,1400.9685,1003.591,589.543
Emissions and CCS,Energy and industrial processes CO2 emissions,Below 2°C,Mt CO2/yr,2811.9612,3445.4216,2714.5061,2273.1205,2245.4451,1866.4776,1519.8859
Emissions and CCS,Energy and industrial processes CO2 emissions,Current Policies (Hot house world scenario),Mt CO2/yr,2814.9571,3357.71,3751.433,4294.1265,4762.9018,4799.3972,5035.3652
